split,expiry,entry_date,strategy,regime,rv20,rv20_rank,spot,p20,p35,p65,p80,strikes_json,entry_cashflow_points,mc_ev_gross,mc_ev_net,mc_pop,es95_points,es99_points,risk_points_per_lot,risk_budget_inr,estimated_risk_inr_per_lot,recommended_lots,contract_count,eligible,eligibility_reason,slippage_points_per_leg,entry_cost_inr_expected,entry_cost_inr_entry_only,legs_json,cpcv_frequency,status,expiry_spot,realized_pnl_points_per_unit,realized_cost_inr_per_lot,realized_pnl_inr_per_lot,forced_per_lot_evaluation,universe,reason,realized_pnl_inr,lots,signal
development,2024-01-25,2024-01-20,Batman,high,0.12676329437328096,0.9642857142857143,71847.66,71107.41430919903,71609.8632071653,72418.71808466397,72894.99778976609,"{""c65"": 72400.0, ""c80"": 72900.0, ""p20"": 71100.0, ""p35"": 71600.0}",48.599999999999966,48.68554183077102,44.85318801304408,0.8158,1447.0837813261508,2429.015239237378,2429.015239237378,2000.0,48580.30478474756,1.0,6.0,True,eligible,1.0,76.64707635453892,63.143761999999995,"[{""expiry"": ""2024-01-25"", ""option_type"": ""PE"", ""premium_points"": 339.35, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 338.35, ""side"": ""BUY"", ""strike"": 71600.0}, {""expiry"": ""2024-01-25"", ""option_type"": ""PE"", ""premium_points"": 178.8, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 179.8, ""side"": ""SELL"", ""strike"": 71100.0}, {""expiry"": ""2024-01-25"", ""option_type"": ""CE"", ""premium_points"": 308.85, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 307.85, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-01-25"", ""option_type"": ""CE"", ""premium_points"": 169.6, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 170.6, ""side"": ""SELL"", ""strike"": 72900.0}]",2.0,CLOSED,70700.67,149.26999999999822,85.62701200000004,2899.7729879999642,True,,,2899.7729879999642,1,ENTER
development,2024-01-25,2024-01-20,Batman,high,0.12676329437328096,0.9642857142857143,71847.66,71107.41430919903,71609.8632071653,72418.71808466397,72894.99778976609,"{""c65"": 72400.0, ""c80"": 72900.0, ""p20"": 71100.0, ""p35"": 71600.0}",48.599999999999966,48.68554183077102,44.85318801304408,0.8158,1447.0837813261508,2429.015239237378,2429.015239237378,2000.0,48580.30478474756,1.0,6.0,True,eligible,1.0,76.64707635453892,63.143761999999995,"[{""expiry"": ""2024-01-25"", ""option_type"": ""PE"", ""premium_points"": 339.35, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 338.35, ""side"": ""BUY"", ""strike"": 71600.0}, {""expiry"": ""2024-01-25"", ""option_type"": ""PE"", ""premium_points"": 178.8, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 179.8, ""side"": ""SELL"", ""strike"": 71100.0}, {""expiry"": ""2024-01-25"", ""option_type"": ""CE"", ""premium_points"": 308.85, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 307.85, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-01-25"", ""option_type"": ""CE"", ""premium_points"": 169.6, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 170.6, ""side"": ""SELL"", ""strike"": 72900.0}]",2.0,CLOSED,70700.67,149.26999999999822,85.62701200000004,2899.7729879999642,True,Batman_standalone,,2899.7729879999642,1,ENTER
development,2024-02-02,2024-01-30,Batman,high,0.15125057192325428,1.0,71777.73,70985.80614632956,71495.82227543935,72357.91632937745,72834.70198675021,"{""c65"": 72400.0, ""c80"": 72800.0, ""p20"": 71000.0, ""p35"": 71500.0}",451.74999999999994,415.586370593043,410.87528183168797,0.8908,1107.8319478862268,2093.4520699668037,2093.4520699668037,2000.0,41869.04139933607,1.0,6.0,True,eligible,1.0,94.22177522709994,81.0800813,"[{""expiry"": ""2024-02-02"", ""option_type"": ""PE"", ""premium_points"": 569.95, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 568.95, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""PE"", ""premium_points"": 403.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 404.0, ""side"": ""SELL"", ""strike"": 71000.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""CE"", ""premium_points"": 486.3, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 485.3, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""CE"", ""premium_points"": 351.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 352.0, ""side"": ""SELL"", ""strike"": 72800.0}]",2.0,CLOSED,72085.63,451.74999999999994,81.0800813,8953.919918699998,True,,,8953.919918699998,1,ENTER
development,2024-02-02,2024-01-30,Batman,high,0.15125057192325428,1.0,71777.73,70985.80614632956,71495.82227543935,72357.91632937745,72834.70198675021,"{""c65"": 72400.0, ""c80"": 72800.0, ""p20"": 71000.0, ""p35"": 71500.0}",451.74999999999994,415.586370593043,410.87528183168797,0.8908,1107.8319478862268,2093.4520699668037,2093.4520699668037,2000.0,41869.04139933607,1.0,6.0,True,eligible,1.0,94.22177522709994,81.0800813,"[{""expiry"": ""2024-02-02"", ""option_type"": ""PE"", ""premium_points"": 569.95, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 568.95, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""PE"", ""premium_points"": 403.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 404.0, ""side"": ""SELL"", ""strike"": 71000.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""CE"", ""premium_points"": 486.3, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 485.3, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""CE"", ""premium_points"": 351.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 352.0, ""side"": ""SELL"", ""strike"": 72800.0}]",2.0,CLOSED,72085.63,451.74999999999994,81.0800813,8953.919918699998,True,Batman_standalone,,8953.919918699998,1,ENTER
development,2024-02-09,2024-02-06,Batman,high,0.1566767566465073,0.996031746031746,71813.7,71047.76046595885,71543.60812468511,72376.294141029,72852.29279462034,"{""c65"": 72400.0, ""c80"": 72900.0, ""p20"": 71000.0, ""p35"": 71500.0}",184.05,192.14988731605075,188.02633001225036,0.861,1257.3231234278517,2223.2585862114483,2223.2585862114483,2000.0,44465.17172422897,1.0,6.0,True,eligible,1.0,82.47114607600757,69.65667902000001,"[{""expiry"": ""2024-02-09"", ""option_type"": ""PE"", ""premium_points"": 462.7, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 461.7, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-09"", ""option_type"": ""PE"", ""premium_points"": 303.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 304.0, ""side"": ""SELL"", ""strike"": 71000.0}, {""expiry"": ""2024-02-09"", ""option_type"": ""CE"", ""premium_points"": 343.75, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 342.75, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-09"", ""option_type"": ""CE"", ""premium_points"": 192.25, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 193.25, ""side"": ""SELL"", ""strike"": 72900.0}]",2.0,CLOSED,71595.49,184.05,69.65667902000001,3611.34332098,True,,,3611.34332098,1,ENTER
development,2024-02-09,2024-02-06,Batman,high,0.1566767566465073,0.996031746031746,71813.7,71047.76046595885,71543.60812468511,72376.294141029,72852.29279462034,"{""c65"": 72400.0, ""c80"": 72900.0, ""p20"": 71000.0, ""p35"": 71500.0}",184.05,192.14988731605075,188.02633001225036,0.861,1257.3231234278517,2223.2585862114483,2223.2585862114483,2000.0,44465.17172422897,1.0,6.0,True,eligible,1.0,82.47114607600757,69.65667902000001,"[{""expiry"": ""2024-02-09"", ""option_type"": ""PE"", ""premium_points"": 462.7, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 461.7, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-09"", ""option_type"": ""PE"", ""premium_points"": 303.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 304.0, ""side"": ""SELL"", ""strike"": 71000.0}, {""expiry"": ""2024-02-09"", ""option_type"": ""CE"", ""premium_points"": 343.75, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 342.75, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-09"", ""option_type"": ""CE"", ""premium_points"": 192.25, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 193.25, ""side"": ""SELL"", ""strike"": 72900.0}]",2.0,CLOSED,71595.49,184.05,69.65667902000001,3611.34332098,True,Batman_standalone,,3611.34332098,1,ENTER
development,2024-02-16,2024-02-13,Batman,high,0.15408174023703014,0.9642857142857143,71006.64,70241.11562870779,70746.08403036618,71549.72489149832,72017.99742455875,"{""c65"": 71500.0, ""c80"": 72000.0, ""p20"": 70200.0, ""p35"": 70700.0}",149.55000000000007,156.20000376342486,152.05155967807454,0.8498,1355.0423433195183,2341.0956607310145,2341.0956607310145,2000.0,46821.91321462029,1.0,6.0,True,eligible,1.0,82.9688817070054,69.62227298,"[{""expiry"": ""2024-02-16"", ""option_type"": ""PE"", ""premium_points"": 414.5, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 413.5, ""side"": ""BUY"", ""strike"": 70700.0}, {""expiry"": ""2024-02-16"", ""option_type"": ""PE"", ""premium_points"": 256.35, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 257.35, ""side"": ""SELL"", ""strike"": 70200.0}, {""expiry"": ""2024-02-16"", ""option_type"": ""CE"", ""premium_points"": 422.25, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 421.25, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-16"", ""option_type"": ""CE"", ""premium_points"": 236.8, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 237.8, ""side"": ""SELL"", ""strike"": 72000.0}]",2.0,CLOSED,72426.64,222.91000000000065,92.78827297999999,4365.411727020013,True,,,4365.411727020013,1,ENTER
development,2024-02-16,2024-02-13,Batman,high,0.15408174023703014,0.9642857142857143,71006.64,70241.11562870779,70746.08403036618,71549.72489149832,72017.99742455875,"{""c65"": 71500.0, ""c80"": 72000.0, ""p20"": 70200.0, ""p35"": 70700.0}",149.55000000000007,156.20000376342486,152.05155967807454,0.8498,1355.0423433195183,2341.0956607310145,2341.0956607310145,2000.0,46821.91321462029,1.0,6.0,True,eligible,1.0,82.9688817070054,69.62227298,"[{""expiry"": ""2024-02-16"", ""option_type"": ""PE"", ""premium_points"": 414.5, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 413.5, ""side"": ""BUY"", ""strike"": 70700.0}, {""expiry"": ""2024-02-16"", ""option_type"": ""PE"", ""premium_points"": 256.35, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 257.35, ""side"": ""SELL"", ""strike"": 70200.0}, {""expiry"": ""2024-02-16"", ""option_type"": ""CE"", ""premium_points"": 422.25, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 421.25, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-16"", ""option_type"": ""CE"", ""premium_points"": 236.8, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 237.8, ""side"": ""SELL"", ""strike"": 72000.0}]",2.0,CLOSED,72426.64,222.91000000000065,92.78827297999999,4365.411727020013,True,Batman_standalone,,4365.411727020013,1,ENTER
development,2024-02-23,2024-02-20,Batman,high,0.12737448008764424,0.9007936507936508,72617.27,71828.5150321985,72369.44522520556,73179.55721203856,73659.10932597563,"{""c65"": 73200.0, ""c80"": 73700.0, ""p20"": 71800.0, ""p35"": 72400.0}",41.0,83.43025202724728,79.53621962709767,0.8336,1219.422562132195,2006.1068183110253,2006.1068183110253,2000.0,40122.136366220504,1.0,6.0,True,eligible,1.0,77.88064800299166,64.34464087999999,"[{""expiry"": ""2024-02-23"", ""option_type"": ""PE"", ""premium_points"": 443.9, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 442.9, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-23"", ""option_type"": ""PE"", ""premium_points"": 248.2, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 249.2, ""side"": ""SELL"", ""strike"": 71800.0}, {""expiry"": ""2024-02-23"", ""option_type"": ""CE"", ""premium_points"": 263.5, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 262.5, ""side"": ""BUY"", ""strike"": 73200.0}, {""expiry"": ""2024-02-23"", ""option_type"": ""CE"", ""premium_points"": 126.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 127.0, ""side"": ""SELL"", ""strike"": 73700.0}]",2.0,CLOSED,73142.8,41.0,64.34464087999999,755.65535912,True,,,755.65535912,1,ENTER
development,2024-02-23,2024-02-20,Batman,high,0.12737448008764424,0.9007936507936508,72617.27,71828.5150321985,72369.44522520556,73179.55721203856,73659.10932597563,"{""c65"": 73200.0, ""c80"": 73700.0, ""p20"": 71800.0, ""p35"": 72400.0}",41.0,83.43025202724728,79.53621962709767,0.8336,1219.422562132195,2006.1068183110253,2006.1068183110253,2000.0,40122.136366220504,1.0,6.0,True,eligible,1.0,77.88064800299166,64.34464087999999,"[{""expiry"": ""2024-02-23"", ""option_type"": ""PE"", ""premium_points"": 443.9, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 442.9, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-23"", ""option_type"": ""PE"", ""premium_points"": 248.2, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 249.2, ""side"": ""SELL"", ""strike"": 71800.0}, {""expiry"": ""2024-02-23"", ""option_type"": ""CE"", ""premium_points"": 263.5, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 262.5, ""side"": ""BUY"", ""strike"": 73200.0}, {""expiry"": ""2024-02-23"", ""option_type"": ""CE"", ""premium_points"": 126.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 127.0, ""side"": ""SELL"", ""strike"": 73700.0}]",2.0,CLOSED,73142.8,41.0,64.34464087999999,755.65535912,True,Batman_standalone,,755.65535912,1,ENTER
