split,expiry,entry_date,strategy,regime,rv20,rv20_rank,spot,p20,p35,p65,p80,strikes_json,entry_cashflow_points,mc_ev_gross,mc_ev_net,mc_pop,es95_points,es99_points,risk_points_per_lot,risk_budget_inr,estimated_risk_inr_per_lot,recommended_lots,contract_count,eligible,eligibility_reason,slippage_points_per_leg,entry_cost_inr_expected,entry_cost_inr_entry_only,legs_json,cpcv_frequency,status,expiry_spot,realized_pnl_points_per_unit,realized_cost_inr_per_lot,realized_pnl_inr_per_lot,forced_per_lot_evaluation,universe,reason
development,2024-01-05,2024-01-02,Batman,high,0.11606320822148102,0.8015873015873016,72172.12,71379.2657837405,71907.02273372187,72748.80660897575,73253.64105043001,"{""c65"": 72700.0, ""c80"": 73300.0, ""p20"": 71400.0, ""p35"": 71900.0}",-59.50000000000003,-31.033904320745506,-34.59737657517691,0.4668,1522.432576161156,2594.729405037514,2594.729405037514,2000.0,51894.588100750276,0.0,6.0,False,negative_net_ev,1.0,71.2694450886275,56.94503028,"[{""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 266.6, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 265.6, ""side"": ""BUY"", ""strike"": 71900.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 134.25, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 135.25, ""side"": ""SELL"", ""strike"": 71400.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 211.8, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 210.8, ""side"": ""BUY"", ""strike"": 72700.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 75.2, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 76.2, ""side"": ""SELL"", ""strike"": 73300.0}]",2.0,EVALUATED,72026.15,-59.50000000000003,56.94503028,-1246.9450302800005,True,,
development,2024-01-05,2024-01-02,Long Synthetic Future,high,0.11606320822148102,0.8015873015873016,72172.12,71379.2657837405,71907.02273372187,72748.80660897575,73253.64105043001,"{""atm"": 72200.0}",-59.05000000000001,43.65777147168901,41.39922388530253,0.5242,2544.864878780937,3542.405562477664,3542.405562477664,2000.0,70848.11124955327,1.0,2.0,True,eligible,1.0,45.17095172773043,32.38366806,"[{""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 436.2, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 435.2, ""side"": ""BUY"", ""strike"": 72200.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 377.15, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 378.15, ""side"": ""SELL"", ""strike"": 72200.0}]",3.0,EVALUATED,72026.15,-232.90000000000583,32.38366806,-4690.383668060116,True,,
development,2024-01-05,2024-01-02,Risk Reversal,high,0.11606320822148102,0.8015873015873016,72172.12,71379.2657837405,71907.02273372187,72748.80660897575,73253.64105043001,"{""c65"": 72700.0, ""p35"": 71900.0}",52.80000000000001,47.70285888852329,45.86831047950222,0.6704,2132.5908796035715,3130.1315633002982,3130.1315633002982,2000.0,62602.63126600596,1.0,2.0,True,eligible,1.0,36.6909681804203,29.592475040000004,"[{""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 211.8, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 210.8, ""side"": ""BUY"", ""strike"": 72700.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 264.6, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 265.6, ""side"": ""SELL"", ""strike"": 71900.0}]",5.0,EVALUATED,72026.15,52.80000000000001,29.592475040000004,1026.4075249600003,True,,
development,2024-01-05,2024-01-02,Sell Put,high,0.11606320822148102,0.8015873015873016,72172.12,71379.2657837405,71907.02273372187,72748.80660897575,73253.64105043001,"{""atm"": 72200.0}",377.15,-31.633575237528262,-32.62342212452829,0.6776,2107.3961780815503,3104.9368617782775,3104.9368617782775,2000.0,62098.73723556555,0.0,1.0,False,negative_net_ev,1.0,19.79693774,19.79693774,"[{""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 377.15, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 378.15, ""side"": ""SELL"", ""strike"": 72200.0}]",5.0,EVALUATED,72026.15,203.29999999999416,19.79693774,4046.203062259883,True,,
development,2024-01-05,2024-01-02,Batman,high,0.11606320822148102,0.8015873015873016,72172.12,71379.2657837405,71907.02273372187,72748.80660897575,73253.64105043001,"{""c65"": 72700.0, ""c80"": 73300.0, ""p20"": 71400.0, ""p35"": 71900.0}",-59.50000000000003,-31.033904320745506,-34.59737657517691,0.4668,1522.432576161156,2594.729405037514,2594.729405037514,2000.0,51894.588100750276,0.0,6.0,False,negative_net_ev,1.0,71.2694450886275,56.94503028,"[{""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 266.6, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 265.6, ""side"": ""BUY"", ""strike"": 71900.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 134.25, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 135.25, ""side"": ""SELL"", ""strike"": 71400.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 211.8, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 210.8, ""side"": ""BUY"", ""strike"": 72700.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 75.2, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 76.2, ""side"": ""SELL"", ""strike"": 73300.0}]",2.0,EVALUATED,72026.15,-59.50000000000003,56.94503028,-1246.9450302800005,True,Batman_standalone,
development,2024-01-12,2024-01-09,Batman,high,0.11234755291538256,0.7420634920634921,71849.59,71113.98632691246,71613.8827949209,72430.9485480098,72889.76427267972,"{""c65"": 72400.0, ""c80"": 72900.0, ""p20"": 71100.0, ""p35"": 71600.0}",-55.60000000000002,-53.54490675490679,-56.97306667054252,0.4454,1507.7911029839008,2520.003856959366,2520.003856959366,2000.0,50400.07713918733,0.0,6.0,False,negative_net_ev,1.0,68.56319831271442,54.982384239999995,"[{""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 222.5, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 221.5, ""side"": ""BUY"", ""strike"": 71600.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 97.6, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 98.6, ""side"": ""SELL"", ""strike"": 71100.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 167.0, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 166.0, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 69.35, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 70.35, ""side"": ""SELL"", ""strike"": 72900.0}]",2.0,EVALUATED,72568.45,112.84999999999707,59.19363423999992,2197.8063657599414,True,,
development,2024-01-12,2024-01-09,Long Synthetic Future,high,0.11234755291538256,0.7420634920634921,71849.59,71113.98632691246,71613.8827949209,72430.9485480098,72889.76427267972,"{""atm"": 71800.0}",-114.5,98.6617976671809,96.42932595726498,0.54,2318.057327196081,3173.6183522471033,3173.6183522471033,2000.0,63472.36704494207,1.0,2.0,True,eligible,1.0,44.6494341983188,30.70407076,"[{""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 414.3, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 413.3, ""side"": ""BUY"", ""strike"": 71800.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 299.8, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 300.8, ""side"": ""SELL"", ""strike"": 71800.0}]",3.0,EVALUATED,72568.45,653.9499999999971,49.91532075999993,13029.084679239942,True,,
development,2024-01-12,2024-01-09,Risk Reversal,high,0.11234755291538256,0.7420634920634921,71849.59,71113.98632691246,71613.8827949209,72430.9485480098,72889.76427267972,"{""c65"": 72400.0, ""p35"": 71600.0}",53.5,59.90549705266126,58.13314351518551,0.6752,1949.5972090236412,2805.1582340746627,2805.1582340746627,2000.0,56103.164681493254,1.0,2.0,True,eligible,1.0,35.44707074951548,28.576595,"[{""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 167.0, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 166.0, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 220.5, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 221.5, ""side"": ""SELL"", ""strike"": 71600.0}]",5.0,EVALUATED,72568.45,221.9499999999971,32.787844999999926,4406.212154999942,True,,
development,2024-01-12,2024-01-09,Sell Put,high,0.11234755291538256,0.7420634920634921,71849.59,71113.98632691246,71613.8827949209,72430.9485480098,72889.76427267972,"{""atm"": 71800.0}",299.8,-44.8527398655712,-45.7605818295712,0.6896,1902.4326974501657,2757.993722501187,2757.993722501187,2000.0,55159.874450023744,0.0,1.0,False,negative_net_ev,1.0,18.15683928,18.15683928,"[{""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 299.8, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 300.8, ""side"": ""SELL"", ""strike"": 71800.0}]",5.0,EVALUATED,72568.45,299.8,18.15683928,5977.84316072,True,,
development,2024-01-12,2024-01-09,Batman,high,0.11234755291538256,0.7420634920634921,71849.59,71113.98632691246,71613.8827949209,72430.9485480098,72889.76427267972,"{""c65"": 72400.0, ""c80"": 72900.0, ""p20"": 71100.0, ""p35"": 71600.0}",-55.60000000000002,-53.54490675490679,-56.97306667054252,0.4454,1507.7911029839008,2520.003856959366,2520.003856959366,2000.0,50400.07713918733,0.0,6.0,False,negative_net_ev,1.0,68.56319831271442,54.982384239999995,"[{""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 222.5, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 221.5, ""side"": ""BUY"", ""strike"": 71600.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 97.6, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 98.6, ""side"": ""SELL"", ""strike"": 71100.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 167.0, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 166.0, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 69.35, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 70.35, ""side"": ""SELL"", ""strike"": 72900.0}]",2.0,EVALUATED,72568.45,112.84999999999707,59.19363423999992,2197.8063657599414,True,Batman_standalone,
